año,mes,unique_topics,unique_languages,unique_sentiments,document_count,unique_cities,date,year_month
2009,7,1,1,1,1,1,2009-07-01,2009-07
2010,5,2,1,2,2,1,2010-05-01,2010-05
2011,2,5,2,1,10,1,2011-02-01,2011-02
2011,3,2,1,1,3,1,2011-03-01,2011-03
2011,4,3,1,1,4,1,2011-04-01,2011-04
2011,5,5,2,1,13,2,2011-05-01,2011-05
2011,7,3,1,1,4,1,2011-07-01,2011-07
2011,8,3,1,1,31,2,2011-08-01,2011-08
2011,9,4,2,1,24,3,2011-09-01,2011-09
2011,10,5,1,1,13,2,2011-10-01,2011-10
2011,11,7,2,1,192,3,2011-11-01,2011-11
2011,12,3,2,1,16,3,2011-12-01,2011-12
2012,1,9,1,1,179,2,2012-01-01,2012-01
2012,2,12,1,1,185,2,2012-02-01,2012-02
2012,3,27,1,1,1303,3,2012-03-01,2012-03
2012,4,17,2,2,374,3,2012-04-01,2012-04
2012,5,16,1,1,97,3,2012-05-01,2012-05
2012,6,16,1,2,121,2,2012-06-01,2012-06
2012,7,32,1,2,261,4,2012-07-01,2012-07
2012,8,28,2,2,192,3,2012-08-01,2012-08
2012,9,37,2,2,283,5,2012-09-01,2012-09
2012,10,30,2,2,156,3,2012-10-01,2012-10
2012,11,15,2,2,106,3,2012-11-01,2012-11
2012,12,8,2,2,20,2,2012-12-01,2012-12
2013,1,5,2,2,13,3,2013-01-01,2013-01
2013,2,12,3,2,43,4,2013-02-01,2013-02
2013,3,24,2,3,289,3,2013-03-01,2013-03
2013,4,27,2,3,337,5,2013-04-01,2013-04
2013,5,30,2,2,533,4,2013-05-01,2013-05
2013,6,46,1,3,242,4,2013-06-01,2013-06
2013,7,42,2,3,493,6,2013-07-01,2013-07
2013,8,42,2,3,278,5,2013-08-01,2013-08
2013,9,43,2,3,233,6,2013-09-01,2013-09
2013,10,33,2,3,218,5,2013-10-01,2013-10
2013,11,12,2,2,103,5,2013-11-01,2013-11
2013,12,7,2,2,18,4,2013-12-01,2013-12
2014,1,6,2,1,16,3,2014-01-01,2014-01
2014,2,11,2,1,37,2,2014-02-01,2014-02
2014,3,19,4,3,63,6,2014-03-01,2014-03
2014,4,30,3,3,244,6,2014-04-01,2014-04
2014,5,42,3,2,288,6,2014-05-01,2014-05
2014,6,32,2,3,202,5,2014-06-01,2014-06
2014,7,48,2,3,245,6,2014-07-01,2014-07
2014,8,33,2,2,150,6,2014-08-01,2014-08
2014,9,44,2,3,155,7,2014-09-01,2014-09
2014,10,35,3,3,127,8,2014-10-01,2014-10
2014,11,23,2,3,67,8,2014-11-01,2014-11
2014,12,18,2,2,47,6,2014-12-01,2014-12
2015,1,11,2,2,28,6,2015-01-01,2015-01
2015,2,15,3,3,39,4,2015-02-01,2015-02
2015,3,20,2,3,66,6,2015-03-01,2015-03
2015,4,38,2,3,244,6,2015-04-01,2015-04
2015,5,52,2,3,339,8,2015-05-01,2015-05
2015,6,42,2,3,333,5,2015-06-01,2015-06
2015,7,45,2,3,337,6,2015-07-01,2015-07
2015,8,41,2,3,214,7,2015-08-01,2015-08
2015,9,42,2,3,242,5,2015-09-01,2015-09
2015,10,33,2,3,140,6,2015-10-01,2015-10
2015,11,17,2,2,71,6,2015-11-01,2015-11
2015,12,14,2,3,67,4,2015-12-01,2015-12
2016,1,18,2,2,47,6,2016-01-01,2016-01
2016,2,20,2,3,82,5,2016-02-01,2016-02
2016,3,29,2,3,150,7,2016-03-01,2016-03
2016,4,37,2,3,219,8,2016-04-01,2016-04
2016,5,45,2,3,246,5,2016-05-01,2016-05
2016,6,45,2,3,235,6,2016-06-01,2016-06
2016,7,47,2,3,251,8,2016-07-01,2016-07
2016,8,47,3,3,201,8,2016-08-01,2016-08
2016,9,37,3,3,212,7,2016-09-01,2016-09
2016,10,27,2,3,113,7,2016-10-01,2016-10
2016,11,22,2,3,66,5,2016-11-01,2016-11
2016,12,13,2,2,25,4,2016-12-01,2016-12
2017,1,22,2,3,76,5,2017-01-01,2017-01
2017,2,26,2,3,118,7,2017-02-01,2017-02
2017,3,24,3,3,113,7,2017-03-01,2017-03
2017,4,29,3,3,187,8,2017-04-01,2017-04
2017,5,39,3,3,194,7,2017-05-01,2017-05
2017,6,43,2,3,216,6,2017-06-01,2017-06
2017,7,58,2,3,259,8,2017-07-01,2017-07
2017,8,36,2,3,201,8,2017-08-01,2017-08
2017,9,30,2,3,124,7,2017-09-01,2017-09
2017,10,33,5,2,137,8,2017-10-01,2017-10
2017,11,25,4,2,80,8,2017-11-01,2017-11
2017,12,22,3,3,55,7,2017-12-01,2017-12
2018,1,21,3,3,68,6,2018-01-01,2018-01
2018,2,24,3,3,82,8,2018-02-01,2018-02
2018,3,32,4,3,130,8,2018-03-01,2018-03
2018,4,50,4,3,282,8,2018-04-01,2018-04
2018,5,51,6,3,300,8,2018-05-01,2018-05
2018,6,56,8,3,341,8,2018-06-01,2018-06
2018,7,60,7,3,378,8,2018-07-01,2018-07
2018,8,62,8,3,412,8,2018-08-01,2018-08
2018,9,68,8,3,548,8,2018-09-01,2018-09
2018,10,54,7,3,280,8,2018-10-01,2018-10
2018,11,46,5,3,256,8,2018-11-01,2018-11
2018,12,48,7,3,219,8,2018-12-01,2018-12
2019,1,53,7,3,276,8,2019-01-01,2019-01
2019,2,51,4,3,359,8,2019-02-01,2019-02
2019,3,63,5,3,635,8,2019-03-01,2019-03
2019,4,84,8,3,885,8,2019-04-01,2019-04
2019,5,82,8,3,953,8,2019-05-01,2019-05
2019,6,83,10,3,940,8,2019-06-01,2019-06
2019,7,81,8,3,1350,8,2019-07-01,2019-07
2019,8,87,8,3,1372,8,2019-08-01,2019-08
2019,9,86,8,3,1438,8,2019-09-01,2019-09
2019,10,85,9,3,1451,8,2019-10-01,2019-10
2019,11,77,9,3,1284,8,2019-11-01,2019-11
2019,12,78,11,3,1032,8,2019-12-01,2019-12
2020,1,80,12,3,1026,8,2020-01-01,2020-01
2020,2,83,8,3,1136,8,2020-02-01,2020-02
2020,3,69,6,3,430,8,2020-03-01,2020-03
2020,4,14,4,3,23,7,2020-04-01,2020-04
2020,5,17,3,3,38,7,2020-05-01,2020-05
2020,6,39,3,3,135,8,2020-06-01,2020-06
2020,7,64,6,3,461,8,2020-07-01,2020-07
2020,8,75,7,3,712,8,2020-08-01,2020-08
2020,9,62,5,3,530,8,2020-09-01,2020-09
2020,10,59,4,3,400,8,2020-10-01,2020-10
2020,11,32,5,3,188,8,2020-11-01,2020-11
2020,12,47,5,3,323,8,2020-12-01,2020-12
2021,1,32,7,3,206,8,2021-01-01,2021-01
2021,2,45,5,3,223,8,2021-02-01,2021-02
2021,3,50,9,3,306,8,2021-03-01,2021-03
2021,4,49,5,3,366,8,2021-04-01,2021-04
2021,5,59,6,3,464,8,2021-05-01,2021-05
2021,6,74,5,3,720,8,2021-06-01,2021-06
2021,7,80,9,3,1300,8,2021-07-01,2021-07
2021,8,81,8,3,1452,8,2021-08-01,2021-08
2021,9,82,9,3,1314,8,2021-09-01,2021-09
2021,10,80,9,3,1582,8,2021-10-01,2021-10
2021,11,73,8,3,1114,8,2021-11-01,2021-11
2021,12,71,7,3,1060,8,2021-12-01,2021-12
2022,1,67,7,3,880,8,2022-01-01,2022-01
2022,2,78,6,3,1153,8,2022-02-01,2022-02
2022,3,82,7,3,1303,8,2022-03-01,2022-03
2022,4,74,8,3,1357,8,2022-04-01,2022-04
2022,5,85,9,3,1461,8,2022-05-01,2022-05
2022,6,87,8,3,1581,8,2022-06-01,2022-06
2022,7,161,13,3,12467,8,2022-07-01,2022-07
2022,8,176,15,3,14742,8,2022-08-01,2022-08
2022,9,184,19,3,14907,8,2022-09-01,2022-09
2022,10,181,17,3,16217,8,2022-10-01,2022-10
2022,11,187,22,3,14893,8,2022-11-01,2022-11
2022,12,187,29,3,14861,8,2022-12-01,2022-12
2023,1,190,29,3,15034,8,2023-01-01,2023-01
2023,2,186,28,3,13488,8,2023-02-01,2023-02
2023,3,195,32,3,20189,8,2023-03-01,2023-03
2023,4,203,32,3,19529,8,2023-04-01,2023-04
2023,5,201,30,3,22303,8,2023-05-01,2023-05
2023,6,197,28,3,20711,8,2023-06-01,2023-06
2023,7,202,30,3,20259,8,2023-07-01,2023-07
2023,8,207,31,3,21180,8,2023-08-01,2023-08
2023,9,204,32,3,21715,8,2023-09-01,2023-09
2023,10,209,36,3,23338,8,2023-10-01,2023-10
2023,11,207,31,3,19781,8,2023-11-01,2023-11
2023,12,204,31,3,18925,8,2023-12-01,2023-12
2024,1,196,31,3,18021,8,2024-01-01,2024-01
2024,2,197,31,3,17247,8,2024-02-01,2024-02
2024,3,203,34,3,21068,8,2024-03-01,2024-03
2024,4,204,34,3,23714,8,2024-04-01,2024-04
2024,5,208,36,3,26792,8,2024-05-01,2024-05
2024,6,210,35,3,24312,8,2024-06-01,2024-06
2024,7,210,33,3,23994,8,2024-07-01,2024-07
2024,8,208,31,3,24804,8,2024-08-01,2024-08
2024,9,211,34,3,26147,8,2024-09-01,2024-09
2024,10,209,34,3,27559,8,2024-10-01,2024-10
2024,11,210,36,3,21860,8,2024-11-01,2024-11
2024,12,207,32,3,19964,8,2024-12-01,2024-12
2025,1,204,37,3,20853,8,2025-01-01,2025-01
2025,2,204,33,3,18617,8,2025-02-01,2025-02
2025,3,207,35,3,22905,8,2025-03-01,2025-03
2025,4,211,34,3,22903,8,2025-04-01,2025-04
2025,5,208,36,3,23280,8,2025-05-01,2025-05
2025,6,209,37,3,21949,8,2025-06-01,2025-06
2025,7,209,35,3,13776,8,2025-07-01,2025-07
2025,8,184,27,3,10220,8,2025-08-01,2025-08
2025,9,7,11,1,59,4,2025-09-01,2025-09
2025,10,10,10,2,77,5,2025-10-01,2025-10
2025,11,10,12,2,53,6,2025-11-01,2025-11
2025,12,9,4,1,24,2,2025-12-01,2025-12
2026,1,6,7,2,15,3,2026-01-01,2026-01
2026,2,6,5,2,15,3,2026-02-01,2026-02
2026,3,8,5,2,19,6,2026-03-01,2026-03
2026,4,3,3,1,5,2,2026-04-01,2026-04
2026,5,7,4,1,22,3,2026-05-01,2026-05
2026,6,5,4,1,30,3,2026-06-01,2026-06
2026,7,3,3,1,5,2,2026-07-01,2026-07
2026,8,2,1,2,3,1,2026-08-01,2026-08
